m0 w83
m1 w0
m2 w2
m3 w25
m4 w15
m5 w65
m6 w51
m8 w28
m9 w26
m10 w92
m11 w93
m12 w18
m13 w82
m14 w8
m15 w40
m16 w78
m17 w88
m18 w9
m19 w80
m20 w76
m21 w32
m22 w55
m23 w64
m24 w42
m25 w74
m26 w3
m27 w44
m28 w58
m29 w24
m30 w52
m31 w53
m32 w34
m33 w46
m34 w61
m35 w48
m36 w87
m37 w11
m38 w73
m39 w57
m40 w13
m41 w17
m42 w23
m43 w68
m44 w47
m45 w94
m48 w89
m49 w54
m50 w63
m51 w91
m52 w39
m53 w5
m54 w38
m55 w86
m56 w67
m58 w22
m59 w81
m60 w50
m61 w4
m62 w66
m63 w45
m64 w7
m65 w20
m66 w62
m67 w12
m68 w27
m69 w29
m70 w70
m71 w41
m72 w33
m73 w21
m74 w1
m75 w75
m76 w69
m77 w36
m78 w56
m79 w49
m80 w16
m81 w85
m82 w60
m83 w37
m84 w31
m85 w10
m86 w6
m87 w71
m88 w79
m89 w90
m90 w14
m91 w19
m92 w30
m93 w59
m94 w35
